Molecule Name,AI Confidence,Breadth Score,Local Score
molecule_1,-4.061671257019043,-7.3,7.6
molecule_2,-3.773428201675415,-7.3,14.0
molecule_3,-3.6280763149261475,-7.3,1.6
molecule_4,-2.178260087966919,-7.6,9.6
molecule_5,-2.6406118869781494,-6.9,-0.9
molecule_6,-1.6561675071716309,-7.3,14.0
molecule_7,-3.8111019134521484,-6.8,9.1
molecule_8,-3.449457883834839,-6.6,10.2
molecule_9,-2.999680995941162,-7.6,8.4
molecule_10,-1.9519506692886353,-8.0,7.5
molecule_11,-3.5855355262756348,-7.9,6.5
molecule_12,-3.246244192123413,-7.6,1.6
molecule_13,-3.7093617916107178,-7.6,7.4
molecule_14,-2.3058860301971436,-7.3,3.6
molecule_15,-2.3392369747161865,-7.0,-2.4
molecule_16,-4.21914529800415,-7.6,6.5
molecule_17,-3.257249116897583,-6.9,3.3
molecule_18,-3.5365805625915527,-7.7,-3.2
molecule_19,-3.4580376148223877,-7.9,6.6
molecule_20,-2.967069387435913,-7.9,3.4
molecule_21,-3.5018608570098877,-8.2,5.2
molecule_22,-3.566419839859009,-7.3,-4.5
molecule_23,-2.7778570652008057,-7.8,5.5
molecule_24,-3.6149258613586426,-8.0,8.7
molecule_25,-3.4172613620758057,-7.8,3.4
molecule_26,-3.534043073654175,-7.0,9.7
molecule_27,-4.245234966278076,-7.1,9.1
molecule_28,-3.5666685104370117,-6.2,2.8
molecule_29,-0.9451000094413757,-7.2,2.2
molecule_30,-1.828065276145935,-6.5,-2.8
molecule_31,-3.2353031635284424,-6.9,7.1
molecule_32,-3.636885404586792,-7.2,4.6
molecule_33,-2.264448642730713,-7.4,-1.5
molecule_34,-3.599611759185791,-7.7,-1.2
molecule_35,-3.0502195358276367,-7.5,-2.5
molecule_36,-3.2611987590789795,-6.7,9.6
molecule_37,-2.9013266563415527,-6.2,-2.4
molecule_38,-2.924914836883545,-7.0,-1.7
molecule_39,-2.2116262912750244,-6.3,2.9
molecule_40,-2.963094711303711,-7.2,8.0
molecule_41,-2.6615281105041504,-8.2,4.0
molecule_42,-4.017792701721191,-7.7,1.6
molecule_43,-3.963374376296997,-7.8,8.1
molecule_44,-2.9914567470550537,-6.4,0.1
molecule_45,-3.169691801071167,-6.5,1.6
molecule_46,-3.5838754177093506,-7.1,14.6
molecule_47,-2.8311352729797363,-7.2,5.5
molecule_48,-2.462926149368286,-7.2,4.0
molecule_49,-1.8117462396621704,-7.0,2.1
molecule_50,-2.2041618824005127,-7.4,2.1
molecule_51,-3.1584975719451904,-7.1,11.7
molecule_52,-3.4150497913360596,-6.8,9.0
molecule_53,-3.887423276901245,-8.1,4.0
molecule_54,-3.5824413299560547,-7.7,1.3
molecule_55,-3.804098606109619,-7.6,8.0
molecule_56,-3.2027525901794434,-7.2,13.8
molecule_57,-3.9357664585113525,-6.8,1.3
molecule_58,-2.2387540340423584,-7.8,4.7
molecule_59,-2.726245164871216,-7.5,8.7
molecule_60,-3.190545082092285,-8.4,11.6
molecule_61,-3.2028605937957764,-7.3,2.5
molecule_62,-3.4240965843200684,-8.3,16.6
molecule_63,-2.321465253829956,-6.8,6.1
molecule_64,-3.220255136489868,-7.0,4.7
molecule_65,-1.7008219957351685,-7.4,1.1
molecule_66,-0.9660826325416565,-8.1,6.1
molecule_67,-4.124147415161133,-7.6,-0.8
molecule_68,-2.827816963195801,-6.8,6.0
molecule_69,-2.758561611175537,-6.6,1.6
molecule_70,-2.507995128631592,-6.1,-0.2
molecule_71,-3.9268081188201904,-7.6,12.6
molecule_72,-2.290297746658325,-8.2,14.4
molecule_73,-1.887821078300476,-7.5,9.8
molecule_74,-3.802602529525757,-7.5,10.3
molecule_75,-3.9862430095672607,-7.3,14.4
molecule_77,-3.3500630855560303,-8.3,9.7
molecule_78,-2.800344228744507,-6.7,0.9
molecule_79,-3.568466901779175,-7.0,-3.5
molecule_80,-3.1049509048461914,-7.9,0.1
molecule_81,-3.846489191055298,-7.2,14.6
molecule_82,-4.033607482910156,-7.7,16.3
molecule_83,-3.6112160682678223,-7.3,4.3
molecule_84,-3.617544412612915,-6.7,2.4
molecule_85,-3.5306880474090576,-8.0,6.7
molecule_86,-4.562285423278809,-7.2,11.7
molecule_87,-3.418853521347046,-7.7,-1.0
molecule_88,-2.7083487510681152,-7.5,-1.3
molecule_89,-2.2548787593841553,-7.7,9.3
molecule_90,-2.7303755283355713,-7.2,-3.3
molecule_91,-2.2704591751098633,-6.7,11.4
molecule_92,-3.8629939556121826,-7.4,12.4
molecule_93,-3.9279510974884033,-8.2,14.7
molecule_94,-3.440401792526245,-6.9,3.9
molecule_95,-2.1349937915802,-6.2,-2.0
molecule_96,-3.394613265991211,-7.0,0.9
molecule_97,-2.3562779426574707,-7.3,4.2
molecule_98,-2.76067852973938,-6.9,-3.3
molecule_99,-3.8764092922210693,-7.6,-3.2
molecule_100,-2.591121196746826,-7.1,1.1
molecule_101,-3.450456380844116,-6.9,2.5
molecule_102,-2.613955020904541,-6.8,1.3
molecule_103,-3.206965446472168,-7.1,-2.1
molecule_104,-2.1838619709014893,-7.1,-0.9
molecule_105,-3.770789861679077,-7.0,-1.9
molecule_106,-4.068137168884277,-7.1,-1.3
molecule_107,-2.375959634780884,-7.4,2.1
molecule_108,-2.4422409534454346,-7.1,5.6
molecule_109,-3.635779619216919,-6.9,3.9
molecule_110,-3.5799736976623535,-7.7,21.3
molecule_111,-3.767317533493042,-7.7,9.9
molecule_112,-2.9196617603302,-6.7,3.6
molecule_114,-2.670452356338501,-5.5,-5.1
molecule_115,-2.288670063018799,-5.9,-3.9
molecule_116,-1.321721076965332,-5.3,-4.4
molecule_117,-2.9816462993621826,-6.1,-4.0
molecule_118,-2.1523683071136475,-6.3,-6.2
molecule_119,-3.105030059814453,-6.4,-4.6
molecule_120,-3.535447835922241,-6.1,-2.5
molecule_121,-2.2843642234802246,-6.4,-0.8
molecule_122,-1.2195171117782593,-5.5,-1.0
molecule_123,-2.051358938217163,-6.3,-5.6
molecule_124,-2.625971555709839,-6.4,-1.1
molecule_125,-3.3678605556488037,-6.9,2.1
molecule_126,-1.2404438257217407,-6.4,1.5
molecule_127,-2.0058529376983643,-5.4,-3.7
molecule_128,-3.8832626342773438,-6.0,-3.3
molecule_129,-2.730398416519165,-5.9,-3.8
molecule_130,-3.156662702560425,-6.6,-3.3
molecule_131,-3.06084942817688,-7.2,-2.7
molecule_132,-3.0415146350860596,-6.3,-2.2
molecule_133,-2.4773104190826416,-6.7,-0.3
molecule_134,-3.017174005508423,-6.2,-0.2
molecule_135,-2.706106424331665,-7.1,-2.6
molecule_136,-1.2253739833831787,-7.0,1.0
molecule_137,-3.5043859481811523,-6.7,3.1
molecule_138,-3.242633104324341,-7.5,0.2
molecule_139,-2.398812770843506,-6.9,-5.1
molecule_140,-3.006204605102539,-6.7,-3.9
molecule_141,-1.0196776390075684,-6.2,-3.9
molecule_142,-1.3797156810760498,-6.9,-4.7
molecule_143,-2.13875675201416,-6.4,0.0
molecule_144,-2.7366364002227783,-5.8,-4.9
molecule_145,-1.313042402267456,-7.3,0.4
molecule_146,-3.010040044784546,-7.1,-1.3
molecule_147,-1.9569799900054932,-7.1,-1.1
molecule_148,-1.3151891231536865,-6.7,-4.5
molecule_149,-1.4507235288619995,-7.2,-0.8
molecule_150,-3.0935981273651123,-7.5,0.9
molecule_151,-2.377185106277466,-6.3,-5.9
molecule_152,-1.408913254737854,-6.8,-5.6
molecule_153,-1.831685185432434,-6.6,-0.7
molecule_154,-1.5595853328704834,-7.8,-1.8
molecule_155,-2.692110538482666,-6.9,-1.3
molecule_156,-2.2671220302581787,-6.9,0.2
molecule_157,-3.0163450241088867,-7.4,1.8
molecule_158,-2.899199962615967,-6.1,-5.2
molecule_159,-2.539254903793335,-7.2,0.9
molecule_160,-2.6371374130249023,-8.3,3.0
molecule_161,-1.6982561349868774,-8.0,1.4
molecule_162,-2.833397626876831,-7.9,0.7
molecule_163,-1.8179150819778442,-6.6,1.4
molecule_164,-2.143780469894409,-6.7,5.0
molecule_165,-2.298065662384033,-7.7,4.2
molecule_167,-3.2683942317962646,-7.7,6.2
molecule_168,-2.8329412937164307,-6.1,0.4
molecule_169,-2.275754928588867,-6.7,7.1
molecule_170,-2.6889259815216064,-6.2,-3.5
molecule_171,-2.4471263885498047,-7.1,4.5
molecule_172,-2.3321449756622314,-6.9,8.9
molecule_173,-2.999997854232788,-6.8,7.0
molecule_174,-2.6480934619903564,-7.0,6.5
molecule_175,-0.8693773746490479,-6.0,-0.5
molecule_176,-2.5327036380767822,-7.4,3.5
molecule_177,-2.5015273094177246,-6.0,-1.1
molecule_178,-1.6559431552886963,-7.1,9.7
molecule_179,-2.467691659927368,-7.2,11.0
molecule_180,-2.981135606765747,-7.6,4.0
molecule_181,-2.6922755241394043,-6.5,9.8
molecule_182,-1.5540369749069214,-6.7,8.4
molecule_183,-2.455033779144287,-7.4,4.5
molecule_184,-3.383828639984131,-7.1,9.8
molecule_185,-3.1175756454467773,-7.5,2.5
molecule_186,-2.69612193107605,-6.8,3.5
molecule_187,-2.1080362796783447,-7.9,3.6
molecule_188,-2.889436721801758,-6.2,7.6
molecule_189,-1.9086605310440063,-7.2,2.6
molecule_190,-2.5228583812713623,-6.8,2.8
molecule_192,-3.003761053085327,-7.1,0.2
molecule_195,-2.5426387786865234,-7.5,30.1
molecule_196,-3.1707005500793457,-7.4,3.6
molecule_197,-2.2304093837738037,-5.6,3.4
molecule_198,-2.816620111465454,-6.9,2.0
molecule_199,-2.7129440307617188,-7.8,2.8
molecule_200,-3.315802812576294,-6.4,3.7
molecule_201,-3.2815134525299072,-6.6,3.9
molecule_202,-3.354142189025879,-5.7,0.1
molecule_203,-2.096301555633545,-6.7,6.4
molecule_205,-2.0130467414855957,-5.9,4.3
molecule_206,-1.7220048904418945,-7.4,-3.5
molecule_207,-3.066776990890503,-8.0,11.3
molecule_208,-3.58105206489563,-7.2,4.9
molecule_209,-3.5883047580718994,-7.3,3.4
molecule_210,-2.923870086669922,-7.2,-4.4
molecule_211,-2.3435802459716797,-6.4,5.9
molecule_212,-3.449289560317993,-6.6,15.0
molecule_213,-2.8245604038238525,-8.1,19.6
molecule_214,-2.7815449237823486,-8.7,17.5
molecule_215,-1.820966362953186,-7.2,19.1
molecule_216,-3.4682209491729736,-6.9,15.4
molecule_217,-3.1520066261291504,-7.4,9.6
molecule_218,-2.855851888656616,-7.7,7.4
molecule_219,-2.7321834564208984,-6.7,8.3
molecule_220,-1.8531008958816528,-6.2,2.8
molecule_221,-2.9053947925567627,-7.3,10.5
molecule_222,-3.386505365371704,-6.9,-4.9
molecule_223,-3.0125861167907715,-7.8,5.7
molecule_224,-1.9635692834854126,-7.9,-4.1
molecule_225,-2.523319959640503,-7.0,1.2
molecule_226,-2.7898054122924805,-6.7,1.1
molecule_227,-1.9275751113891602,-7.3,-4.4
molecule_228,-3.2968201637268066,-7.7,-0.2
molecule_229,-2.2787458896636963,-7.1,-2.5
molecule_230,-2.2504632472991943,-7.4,-2.3
molecule_231,-2.7609574794769287,-7.7,2.2
molecule_232,-2.289996385574341,-8.0,5.1
molecule_233,-1.3877707719802856,-8.4,5.7
molecule_234,-3.5484209060668945,-8.3,0.5
molecule_235,-2.3551485538482666,-6.9,1.8
molecule_236,-2.1128575801849365,-7.9,3.6
molecule_237,-1.0355627536773682,-7.8,-1.0
molecule_238,-2.7156147956848145,-8.5,14.8
molecule_239,-2.259603977203369,-7.3,0.6
molecule_240,-3.264796495437622,-8.1,12.0
molecule_241,-2.6534955501556396,-7.5,-1.3
molecule_242,-3.4773671627044678,-7.7,4.6
molecule_243,-4.074824333190918,-8.0,-2.0
molecule_244,-2.489070177078247,-8.0,4.6
molecule_245,-2.0609631538391113,-6.5,-4.3
molecule_246,-1.4809521436691284,-6.8,-5.0
molecule_248,-1.5232526063919067,-7.6,0.5
molecule_249,-3.388176202774048,-7.7,1.1
molecule_250,-3.1325814723968506,-7.3,0.7
molecule_251,-3.026357889175415,-7.9,1.2
molecule_252,-3.200984001159668,-8.6,3.0
molecule_253,-2.004920482635498,-7.7,5.8
molecule_254,-1.6807376146316528,-6.6,-2.8
molecule_255,-1.0142486095428467,-5.8,-5.6
molecule_256,-1.195184588432312,-6.4,-5.2
molecule_257,-3.3088722229003906,-6.9,1.4
molecule_258,-1.4936673641204834,-7.1,-2.6
molecule_259,-2.9564528465270996,-7.1,-5.1
molecule_260,-3.5304195880889893,-8.3,9.2
molecule_261,-2.979748010635376,-8.1,1.5
molecule_262,-1.1016699075698853,-6.6,-5.1
molecule_263,-2.8339943885803223,-7.4,-1.2
molecule_264,-2.39359450340271,-8.4,9.3
molecule_265,-0.8466718792915344,-6.3,-7.0
molecule_266,-1.791864275932312,-6.6,-3.9
molecule_267,-1.8677500486373901,-7.2,-2.3
molecule_268,-2.255739450454712,-6.6,-5.0
molecule_269,-3.4560952186584473,-7.0,4.7
molecule_270,-3.328676223754883,-7.7,3.6
molecule_271,-3.1643385887145996,-5.9,2.5
molecule_272,-3.2427680492401123,-7.1,8.4
molecule_273,-2.530500650405884,-7.9,4.4
molecule_274,-2.413071393966675,-7.1,6.9
molecule_275,-2.4081039428710938,-6.4,2.5
molecule_276,-2.8302559852600098,-7.3,2.6
molecule_277,-1.1499296426773071,-7.5,3.4
molecule_278,-2.4914705753326416,-7.6,-2.4
molecule_279,-1.9600354433059692,-7.6,9.3
molecule_280,-3.8385121822357178,-8.0,6.1
molecule_281,-3.029741048812866,-6.5,10.2
molecule_282,-2.3471131324768066,-7.3,10.8
molecule_283,-4.129571437835693,-7.5,28.5
molecule_284,-2.931264638900757,-7.1,5.3
molecule_285,-2.953068971633911,-7.1,11.4
molecule_286,-2.2106621265411377,-6.7,10.6
molecule_287,-3.2173290252685547,-6.4,1.1
molecule_288,-1.8543899059295654,-6.7,8.1
molecule_289,-3.528721332550049,-6.4,0.7
molecule_290,-1.3337169885635376,-6.9,10.0
molecule_291,-3.742257833480835,-7.5,5.5
molecule_292,-3.3082220554351807,-6.4,-2.5
molecule_293,-3.211378812789917,-7.0,1.1
molecule_294,-2.199171304702759,-7.1,-4.4
molecule_295,-2.5312397480010986,-8.2,-0.8
molecule_296,-2.7198493480682373,-6.4,11.3
molecule_297,-1.1746593713760376,-6.1,-3.3
molecule_298,-2.396970510482788,-6.6,0.1
molecule_299,-1.8351678848266602,-6.8,4.4
molecule_300,-2.5949158668518066,-6.8,20.2
molecule_301,-3.1607773303985596,-6.7,7.2
molecule_302,-3.282113790512085,-6.8,16.5
molecule_303,-3.17055082321167,-6.7,11.7
molecule_304,-1.675431728363037,-6.5,11.2
molecule_305,-2.0831751823425293,-6.8,17.6
molecule_306,-2.4558775424957275,-6.7,9.1
molecule_307,-3.0002949237823486,-6.6,8.3
molecule_308,-3.3890984058380127,-6.6,7.7
molecule_309,-2.9643187522888184,-7.2,20.4
molecule_310,-3.2895402908325195,-6.9,10.5
molecule_311,-2.8643271923065186,-7.3,15.7
molecule_312,-3.3379528522491455,-6.9,9.7
molecule_313,-3.696956157684326,-6.1,4.8
molecule_314,-3.4609649181365967,-5.8,5.3
molecule_315,-3.3525068759918213,-6.3,10.4
molecule_316,-3.6950409412384033,-6.7,19.0
molecule_317,-3.0478038787841797,-6.5,8.7
molecule_318,-3.1371476650238037,-6.5,9.2
molecule_319,-1.902971863746643,-6.3,6.1
