Filename,SMILES
molecule_1.sdf,COc1cc(NC(=O)N2C[C@@H]3C[C@H](C2)c2ccc(NC(=O)c4ccccc4)c(=O)n2C3)cc(OC)c1
molecule_10.sdf,COc1ccc(CC(=O)Nc2ccc3n(c2=O)C[C@H]2C[C@@H]3CN(C(=O)C(=O)O)C2)cc1
molecule_100.sdf,CN(C)CC(=O)N1C[C@@H]2C[C@H](C1)c1ccc(-c3cccnc3)c(=O)n1C2
molecule_1000.sdf,COc1ccccc1N1CCN(C(=O)C[C@@H]2O[C@H](CNC(=O)c3ccccc3)[C@@H](O)[C@H]2O)CC1
molecule_1001.sdf,Cc1ccc(S(=O)(=O)NC[C@H]2O[C@@H](CC(=O)N3CCN(c4ccccc4)CC3)[C@H](O)[C@@H]2O)cc1
molecule_1002.sdf,O=C(C[C@@H]1O[C@H](CNC(=O)C2CCCC2)[C@@H](O)[C@H]1O)Nc1ccccc1
molecule_1003.sdf,COc1ccccc1N1CCN(C(=O)C[C@@H]2O[C@H](Cn3cc(CN(C)Cc4ccccc4)nn3)[C@@H](O)[C@H]2O)CC1
molecule_1004.sdf,Cc1ccc(C(=O)NC[C@H]2O[C@@H](CC(=O)N3CCN(c4ccc(F)cc4)CC3)[C@H](O)[C@@H]2O)cc1
molecule_1005.sdf,C#CCNC(=O)C[C@@H]1O[C@H](CNC(=O)c2cccc(F)c2)[C@@H](O)[C@H]1O
molecule_1006.sdf,CCC(CC)C(=O)NC[C@H]1O[C@@H](CC(=O)N2CCN(c3ccccn3)CC2)[C@H](O)[C@@H]1O
molecule_1007.sdf,COc1ccccc1N1CCN(C(=O)C[C@@H]2O[C@H](CNC(=O)Nc3cccc(F)c3)[C@@H](O)[C@H]2O)CC1
molecule_1008.sdf,O=C(NC[C@H]1O[C@@H](CC(=O)N2CCN(c3ccc(F)cc3)CC2)[C@H](O)[C@@H]1O)C1CC1
molecule_1009.sdf,O=C(NC[C@H]1O[C@@H](CC(=O)N2CCN(c3ccc(F)cc3)CC2)[C@H](O)[C@@H]1O)c1ccco1
molecule_101.sdf,O=c1c(-c2cccnc2)ccc2n1C[C@H]1C[C@@H]2CN(S(=O)(=O)c2ccccc2)C1
molecule_1010.sdf,COc1ccccc1N1CCN(C(=O)C[C@@H]2O[C@H](CNC(=O)c3cccc(F)c3)[C@@H](O)[C@H]2O)CC1
molecule_1011.sdf,COc1ccccc1N1CCN(C(=O)C[C@@H]2O[C@H](CNC(=O)c3ccc(N(C)C)cc3)[C@@H](O)[C@H]2O)CC1
molecule_1012.sdf,O=C(NC[C@H]1O[C@@H](CC(=O)N2CCN(c3ccccn3)CC2)[C@H](O)[C@@H]1O)c1ccco1
